%%wl	rayleigh_cross_section_scattering	ozone_cross_section_absorption	aerosol_cross_section_scattering	aerosol_cross_section_absorption
368.8	2.35072e-36	4.5732e-33	2.71406e-17	9.50808e-17
368.9	2.34791e-36	4.5646e-33	2.71403e-17	9.5077e-17
369	2.3451e-36	4.556e-33	2.71399e-17	9.50836e-17
369.1	2.34229e-36	4.5474e-33	2.71396e-17	9.51315e-17
369.2	2.33948e-36	4.5388e-33	2.71392e-17	9.51793e-17
369.3	2.33667e-36	4.5302e-33	2.71389e-17	9.52272e-17
369.4	2.33386e-36	4.5216e-33	2.71385e-17	9.52751e-17
369.5	2.33105e-36	4.513e-33	2.71382e-17	9.5323e-17
369.6	2.32824e-36	4.5044e-33	2.71378e-17	9.53709e-17
369.7	2.32543e-36	4.4958e-33	2.71375e-17	9.54188e-17
369.8	2.32262e-36	4.4872e-33	2.71371e-17	9.54666e-17
369.9	2.31981e-36	4.4786e-33	2.71367e-17	9.54968e-17
370	2.317e-36	4.47e-33	2.71362e-17	9.55194e-17
370.1	2.31454e-36	4.4614e-33	2.71357e-17	9.5542e-17
370.2	2.31208e-36	4.4528e-33	2.71353e-17	9.55646e-17
370.3	2.30962e-36	4.4442e-33	2.71348e-17	9.55872e-17
370.4	2.30716e-36	4.4356e-33	2.71343e-17	9.56098e-17
370.5	2.3047e-36	4.427e-33	2.71338e-17	9.56323e-17
370.6	2.30224e-36	4.4184e-33	2.71334e-17	9.56549e-17
370.7	2.29978e-36	4.4098e-33	2.71329e-17	9.56674e-17
370.8	2.29732e-36	4.4012e-33	2.71326e-17	9.56395e-17
370.9	2.29486e-36	4.3926e-33	2.71322e-17	9.56116e-17
371	2.2924e-36	4.384e-33	2.71319e-17	9.55837e-17
371.1	2.28994e-36	4.3754e-33	2.71315e-17	9.55558e-17
371.2	2.28748e-36	4.3668e-33	2.71312e-17	9.55279e-17
371.3	2.28502e-36	4.3582e-33	2.71308e-17	9.55e-17
371.4	2.28256e-36	4.3496e-33	2.71305e-17	9.54721e-17
371.5	2.2801e-36	4.341e-33	2.71301e-17	9.54442e-17
371.6	2.27764e-36	4.3324e-33	2.71297e-17	9.54256e-17
371.7	2.27518e-36	4.3238e-33	2.71292e-17	9.54132e-17
371.8	2.27272e-36	4.3152e-33	2.71288e-17	9.54009e-17
371.9	2.27026e-36	4.3066e-33	2.71283e-17	9.53885e-17
372	2.2678e-36	4.298e-33	2.71278e-17	9.53762e-17
372.1	2.26534e-36	4.2894e-33	2.71274e-17	9.53638e-17
372.2	2.26288e-36	4.2808e-33	2.71269e-17	9.53515e-17
372.3	2.26042e-36	4.2722e-33	2.71264e-17	9.53391e-17
372.4	2.25796e-36	4.2636e-33	2.7126e-17	9.53326e-17
372.5	2.2555e-36	4.255e-33	2.71255e-17	9.53786e-17
372.6	2.25304e-36	4.2464e-33	2.7125e-17	9.54247e-17
372.7	2.25058e-36	4.2378e-33	2.71246e-17	9.54707e-17
372.8	2.24812e-36	4.2292e-33	2.71241e-17	9.55168e-17
372.9	2.24566e-36	4.2206e-33	2.71236e-17	9.55628e-17
373	2.2432e-36	4.212e-33	2.71232e-17	9.56089e-17
373.1	2.24074e-36	4.2034e-33	2.71227e-17	9.56549e-17
373.2	2.23828e-36	4.1948e-33	2.71222e-17	9.5701e-17
373.3	2.23582e-36	4.1862e-33	2.71217e-17	9.57527e-17
373.4	2.23336e-36	4.1776e-33	2.71211e-17	9.58102e-17
373.5	2.2309e-36	4.169e-33	2.71205e-17	9.58676e-17
373.6	2.22844e-36	4.1604e-33	2.712e-17	9.5925e-17
373.7	2.22598e-36	4.1518e-33	2.71194e-17	9.59825e-17
373.8	2.22352e-36	4.1432e-33	2.71188e-17	9.60399e-17
373.9	2.22106e-36	4.1346e-33	2.71182e-17	9.60974e-17
374	2.2186e-36	4.126e-33	2.71176e-17	9.61548e-17
374.1	2.21614e-36	4.1174e-33	2.71171e-17	9.62123e-17
374.2	2.21368e-36	4.1088e-33	2.71166e-17	9.62271e-17
374.3	2.21122e-36	4.1002e-33	2.71161e-17	9.62372e-17
374.4	2.20876e-36	4.0916e-33	2.71157e-17	9.62473e-17
374.5	2.2063e-36	4.083e-33	2.71152e-17	9.62575e-17
374.6	2.20384e-36	4.0744e-33	2.71147e-17	9.62676e-17
374.7	2.20138e-36	4.0658e-33	2.71143e-17	9.62777e-17
374.8	2.19892e-36	4.0572e-33	2.71138e-17	9.62878e-17
374.9	2.19646e-36	4.0486e-33	2.71133e-17	9.62979e-17
375	2.194e-36	4.04e-33	2.71129e-17	9.63013e-17
375.1	2.19154e-36	4.0314e-33	2.71124e-17	9.62892e-17
375.2	2.18908e-36	4.0228e-33	2.71119e-17	9.6277e-17
375.3	2.18662e-36	4.0142e-33	2.71115e-17	9.62648e-17
375.4	2.18416e-36	4.0056e-33	2.7111e-17	9.62526e-17
375.5	2.1817e-36	3.997e-33	2.71106e-17	9.62404e-17
375.6	2.17924e-36	3.9884e-33	2.71101e-17	9.62282e-17
375.7	2.17678e-36	3.9798e-33	2.71096e-17	9.62161e-17
375.8	2.17432e-36	3.9712e-33	2.71092e-17	9.62039e-17
375.9	2.17186e-36	3.9626e-33	2.71087e-17	9.62187e-17
376	2.1694e-36	3.954e-33	2.71081e-17	9.62515e-17
376.1	2.16694e-36	3.9454e-33	2.71075e-17	9.62843e-17
376.2	2.16448e-36	3.9368e-33	2.71069e-17	9.63171e-17
376.3	2.16202e-36	3.9282e-33	2.71063e-17	9.63498e-17
376.4	2.15956e-36	3.9196e-33	2.71057e-17	9.63826e-17
376.5	2.1571e-36	3.911e-33	2.71052e-17	9.64154e-17
376.6	2.15464e-36	3.9024e-33	2.71046e-17	9.64482e-17
376.7	2.15218e-36	3.8938e-33	2.7104e-17	9.6481e-17
376.8	2.14972e-36	3.8852e-33	2.71035e-17	9.65424e-17
376.9	2.14726e-36	3.8766e-33	2.71031e-17	9.66038e-17
377	2.1448e-36	3.868e-33	2.71026e-17	9.66651e-17
377.1	2.14234e-36	3.8594e-33	2.71022e-17	9.67265e-17
377.2	2.13988e-36	3.8508e-33	2.71017e-17	9.67879e-17
377.3	2.13742e-36	3.8422e-33	2.71012e-17	9.68493e-17
377.4	2.13496e-36	3.8336e-33	2.71008e-17	9.69107e-17
377.5	2.1325e-36	3.825e-33	2.71003e-17	9.6972e-17
377.6	2.13004e-36	3.8164e-33	2.70998e-17	9.7027e-17
377.7	2.12758e-36	3.8078e-33	2.70993e-17	9.70672e-17
377.8	2.12512e-36	3.7992e-33	2.70987e-17	9.71073e-17
377.9	2.12266e-36	3.7906e-33	2.70981e-17	9.71474e-17
378	2.1202e-36	3.782e-33	2.70975e-17	9.71875e-17
378.1	2.11774e-36	3.7734e-33	2.7097e-17	9.72276e-17
378.2	2.11528e-36	3.7648e-33	2.70964e-17	9.72677e-17
378.3	2.11282e-36	3.7562e-33	2.70958e-17	9.73078e-17
378.4	2.11036e-36	3.7476e-33	2.70952e-17	9.7348e-17
378.5	2.1079e-36	3.739e-33	2.70947e-17	9.73658e-17
378.6	2.10544e-36	3.7304e-33	2.70941e-17	9.73689e-17
378.7	2.10298e-36	3.7218e-33	2.70935e-17	9.7372e-17
378.8	2.10052e-36	3.7132e-33	2.7093e-17	9.73751e-17
378.9	2.09806e-36	3.7046e-33	2.70924e-17	9.73781e-17
379	2.0956e-36	3.696e-33	2.70918e-17	9.73812e-17
379.1	2.09314e-36	3.6874e-33	2.70913e-17	9.73843e-17
379.2	2.09068e-36	3.6788e-33	2.70907e-17	9.73873e-17
379.3	2.08822e-36	3.6702e-33	2.70901e-17	9.73904e-17
379.4	2.08576e-36	3.6616e-33	2.70895e-17	9.74013e-17
379.5	2.0833e-36	3.653e-33	2.7089e-17	9.74142e-17
379.6	2.08084e-36	3.6444e-33	2.70884e-17	9.7427e-17
379.7	2.07838e-36	3.6358e-33	2.70878e-17	9.74399e-17
379.8	2.07592e-36	3.6272e-33	2.70872e-17	9.74528e-17
379.9	2.07346e-36	3.6186e-33	2.70867e-17	9.74657e-17
380	2.071e-36	3.61e-33	2.70861e-17	9.74785e-17
