%%wl	rayleigh_cross_section_scattering	ozone_cross_section_absorption	aerosol_cross_section_scattering	aerosol_cross_section_absorption
360	2.598e-36	2.35372e-30	3.42146e-16	4.12726e-16
360.1	2.59519e-36	2.30674e-30	3.42148e-16	4.12728e-16
360.2	2.59238e-36	2.25976e-30	3.42151e-16	4.12731e-16
360.3	2.58957e-36	2.21279e-30	3.42153e-16	4.12733e-16
360.4	2.58676e-36	2.16581e-30	3.42156e-16	4.12736e-16
360.5	2.58395e-36	2.11884e-30	3.42158e-16	4.12738e-16
360.6	2.58114e-36	2.07186e-30	3.4216e-16	4.1274e-16
360.7	2.57833e-36	2.02488e-30	3.42163e-16	4.12741e-16
360.8	2.57552e-36	1.97791e-30	3.42165e-16	4.12743e-16
360.9	2.57271e-36	1.93093e-30	3.42168e-16	4.12744e-16
361	2.5699e-36	1.88395e-30	3.4217e-16	4.12745e-16
361.1	2.56709e-36	1.83697e-30	3.42173e-16	4.12746e-16
361.2	2.56428e-36	1.79e-30	3.42175e-16	4.12747e-16
361.3	2.56147e-36	1.74303e-30	3.42177e-16	4.12749e-16
361.4	2.55866e-36	1.69605e-30	3.4218e-16	4.1275e-16
361.5	2.55585e-36	1.64907e-30	3.42183e-16	4.1275e-16
361.6	2.55304e-36	1.60209e-30	3.42187e-16	4.1275e-16
361.7	2.55023e-36	1.55511e-30	3.4219e-16	4.1275e-16
361.8	2.54742e-36	1.50815e-30	3.42194e-16	4.1275e-16
361.9	2.54461e-36	1.46117e-30	3.42198e-16	4.1275e-16
362	2.5418e-36	1.41419e-30	3.42201e-16	4.1275e-16
362.1	2.53899e-36	1.36721e-30	3.42205e-16	4.1275e-16
362.2	2.53618e-36	1.32023e-30	3.42209e-16	4.1275e-16
362.3	2.53337e-36	1.27327e-30	3.42211e-16	4.12751e-16
362.4	2.53056e-36	1.22629e-30	3.42214e-16	4.12752e-16
362.5	2.52775e-36	1.17931e-30	3.42216e-16	4.12753e-16
362.6	2.52494e-36	1.13233e-30	3.42219e-16	4.12754e-16
362.7	2.52213e-36	1.08535e-30	3.42221e-16	4.12755e-16
362.8	2.51932e-36	1.03839e-30	3.42223e-16	4.12757e-16
362.9	2.51651e-36	9.91406e-31	3.42226e-16	4.12758e-16
363	2.5137e-36	9.44427e-31	3.42228e-16	4.12759e-16
363.1	2.51089e-36	8.97448e-31	3.4223e-16	4.1276e-16
363.2	2.50808e-36	8.50468e-31	3.42233e-16	4.1276e-16
363.3	2.50527e-36	8.03504e-31	3.42235e-16	4.1276e-16
363.4	2.50246e-36	7.56524e-31	3.42238e-16	4.1276e-16
363.5	2.49965e-36	7.09545e-31	3.4224e-16	4.1276e-16
363.6	2.49684e-36	6.62566e-31	3.42242e-16	4.1276e-16
363.7	2.49403e-36	6.15587e-31	3.42245e-16	4.1276e-16
363.8	2.49122e-36	5.68622e-31	3.42247e-16	4.1276e-16
363.9	2.48841e-36	5.21643e-31	3.4225e-16	4.1276e-16
364	2.4856e-36	4.74663e-31	3.42252e-16	4.12761e-16
364.1	2.48279e-36	4.27684e-31	3.42254e-16	4.12762e-16
364.2	2.47998e-36	3.80705e-31	3.42257e-16	4.12763e-16
364.3	2.47717e-36	3.3374e-31	3.42259e-16	4.12765e-16
364.4	2.47436e-36	2.86761e-31	3.42262e-16	4.12766e-16
364.5	2.47155e-36	2.39782e-31	3.42264e-16	4.12767e-16
364.6	2.46874e-36	1.92802e-31	3.42266e-16	4.12768e-16
364.7	2.46593e-36	1.45823e-31	3.42269e-16	4.12769e-16
364.8	2.46312e-36	9.88584e-32	3.42271e-16	4.1277e-16
364.9	2.46031e-36	5.18792e-32	3.42274e-16	4.1277e-16
365	2.4575e-36	4.9e-33	3.42276e-16	4.1277e-16
365.1	2.45469e-36	4.8914e-33	3.42278e-16	4.1277e-16
365.2	2.45188e-36	4.8828e-33	3.42281e-16	4.1277e-16
365.3	2.44907e-36	4.8742e-33	3.42283e-16	4.1277e-16
365.4	2.44626e-36	4.8656e-33	3.42285e-16	4.1277e-16
365.5	2.44345e-36	4.857e-33	3.42288e-16	4.1277e-16
365.6	2.44064e-36	4.8484e-33	3.4229e-16	4.1277e-16
365.7	2.43783e-36	4.8398e-33	3.42293e-16	4.12771e-16
365.8	2.43502e-36	4.8312e-33	3.42295e-16	4.12772e-16
365.9	2.43221e-36	4.8226e-33	3.42297e-16	4.12774e-16
366	2.4294e-36	4.814e-33	3.423e-16	4.12775e-16
366.1	2.42659e-36	4.8054e-33	3.42302e-16	4.12776e-16
366.2	2.42378e-36	4.7968e-33	3.42304e-16	4.12777e-16
366.3	2.42097e-36	4.7882e-33	3.42307e-16	4.12778e-16
366.4	2.41816e-36	4.7796e-33	3.42309e-16	4.1278e-16
366.5	2.41535e-36	4.771e-33	3.42312e-16	4.12781e-16
366.6	2.41254e-36	4.7624e-33	3.42316e-16	4.12784e-16
